SDN,,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,mgL_9,mgL_10,mgL_11,mgL_12,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,QF_DO_1,QF_DO_2,QF_DO_3,QF_DO_4,QF_DO_5,QF_DO_6,QF_DO_7,QF_DO_8,QF_DO_9,QF_DO_10,QF_DO_11,QF_DO_12,,QF_TC_1,QF_TC_2,QF_TC_3,QF_TC_4,QF_TC_5,QF_TC_6,QF_TC_7,QF_TC_8,QF_TC_9,QF_TC_10,QF_TC_11,QF_TC_12,,QF_DO2_1,QF_DO2_2,QF_DO2_3,QF_DO2_4,QF_DO2_5,QF_DO2_6,QF_DO2_7,QF_DO2_8,QF_DO2_9,QF_DO2_10,QF_DO2_11,QF_DO2_12
738197.7083,2/10/21 16:59,7.448432034,2.998034636,10.78255642,NaN,5.674567601,5.626597239,5.947690743,4.125771464,4.954484849,,,5.201555541,16.2,12.8,17,,19.6,10.4,19.3,12.9,18.9,,,10.2,1,1,1,,1,1,1,1,1,,,1,,4,1,4,,4,1,4,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.7292,2/10/21 17:30,7.358671299,3.054988955,11.06531742,NaN,5.553111532,5.567580169,5.484847662,4.08676973,4.883820927,,,5.0516408,15.5,12.6,16.2,,19.1,10.1,18.5,12.5,18.7,,,9.9,1,4,1,,1,1,1,1,1,,,1,,1,1,4,,1,1,4,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.75,2/10/21 18:00,7.40739892,3.044068718,11.22865865,NaN,5.501146863,5.450814682,5.445514611,4.053889868,4.572087327,,,4.621696781,15.5,12.5,16.1,,19.4,10,18.7,12.4,18.8,,,9.8,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.7708,2/10/21 18:29,7.116933385,3.116776884,10.54812973,NaN,5.484632849,5.191063394,5.295083924,4.205229452,4.450251836,,,4.830328058,15.4,12.5,16.1,,19.4,10.1,18.8,12.4,18.8,,,9.8,1,1,4,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.7917,2/10/21 19:00,6.77039661,3.114261825,10.27915546,NaN,5.418072781,5.284006475,5.325316006,3.967624338,4.5741991,,,4.663759049,15.3,12.4,15.9,,19,9.8,18.3,12.4,18.4,,,9.8,1,4,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.8125,2/10/21 19:30,6.950038792,3.076046523,10.14822942,NaN,5.314540388,4.97180866,5.29569727,3.997875457,4.513859641,,,4.442754742,15.3,12.3,15.8,,19,9.8,18.2,12.2,18.3,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.8333,2/10/21 19:59,6.738463656,3.037665559,10.14701727,NaN,5.30738519,4.983317978,5.38398722,4.068149615,4.245968302,,,4.586592112,15.3,12.5,15.7,,19.2,9.8,18.6,12.2,18.2,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.8542,2/10/21 20:30,6.829068104,3.016697868,10.17922859,NaN,5.307165039,4.992480801,5.319713964,4.04371206,4.354015392,,,4.665588536,15.4,12.5,15.9,,19.1,10,18.5,12.4,18.4,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.875,2/10/21 21:00,6.707363695,2.980735193,10.17169529,NaN,5.313813011,5.087865722,5.307465955,3.962304734,4.452147833,,,4.642432915,15.2,12.2,15.6,,19,9.6,18.5,12.5,18.5,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,4,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.8958,2/10/21 21:29,6.771262671,3.125003677,9.918508276,NaN,5.240497699,5.068884765,5.197754826,3.754967318,4.273060271,,,4.676810507,15.2,12.5,15.6,,18.9,9.5,18.2,12.3,18.1,,,9.7,1,1,1,,4,1,1,1,1,,,1,,1,1,1,,4,1,1,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
