POP,TIMESTEP,SITE,TRT,pSurv,Ind,Deaths,AveInitialWt,WtStdev,WtSterr
S,15,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,16,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,17,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,18,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,19,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,20,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,21,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,22,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,23,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,24,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,25,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,26,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,27,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,28,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,29,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,30,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,31,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,32,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,33,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,34,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,35,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,36,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,37,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,38,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,39,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,40,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,41,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,42,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,43,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,44,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,45,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,46,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,47,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,48,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,49,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,50,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,51,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,52,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,53,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,54,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,55,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,56,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,57,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,58,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
S,59,WP,NC,100,12,0,24.46084167,26.35658353,7.608490297
