SDN,pH_1,pH_2,pH_3,pH_4,pH_5,pH_6,pH_7,pH_8,pH_9,pH_10,pH_11,pH_12,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,QF_pH_1,QF_pH_2,QF_pH_3,QF_pH_4,QF_pH_5,QF_pH_6,QF_pH_7,QF_pH_8,QF_pH_9,QF_pH_10,QF_pH_11,QF_pH_12,QF_TC_1,QF_TC_2,QF_TC_3,QF_TC_4,QF_TC_5,QF_TC_6,QF_TC_7,QF_TC_8,QF_TC_9,QF_TC_10,QF_TC_11,QF_TC_12
738185.416701389,7.85728003333709,7.49736300006119,7.90965379994141,7.57556106542947,7.81195556683407,7.89089126659405,7.81063946687686,7.55143463329912,7.79879383313852,7.69683899791961,14,7.85514536657767,15.9577524323005,10.9720916019871,16.0847594989064,11.9582828264954,18.8201528304555,9.38000699898705,18.544407902471,10.9157627990781,18.5362111332495,9.44255466543886,16.0256523655672,9.40888823226454,1,4,1,1,1,4,1,1,1,4,4,1,4,4,1,4,1,1,1,1,1,1,1,1
738185.437534722,7.86265422685986,7.58881100921313,7.91028027737814,7.68881611939437,7.8146386389344,7.82365342054826,7.80275186475817,7.56850857058777,7.78812296546611,7.72439072227954,14,7.84387760522664,15.783333598088,11.5620261149577,15.9135681444641,12.3772444836093,18.4977497865799,9.35081826039418,18.1304232383758,10.571350499975,18.0520216551015,9.44837160617829,15.8614096905869,9.39766042174182,1,4,1,4,1,1,1,4,1,1,4,4,1,4,1,4,1,1,1,1,1,4,1,4
738185.458368056,7.85531958325723,7.605777917481,7.90902675001352,7.66005625283968,7.80640175010781,7.86509874981025,7.79705741528809,7.59602466734365,7.78209324848487,7.70680749775009,14,7.83462841641126,16.1783794185738,12.0237430062923,16.273373918351,12.5839262726704,18.7422897377491,9.61786358316042,18.4693114051988,11.5159965852014,18.5398595683119,9.75975316939784,16.2657750018637,9.72290608403277,1,4,1,1,4,1,1,1,4,4,4,4,1,4,1,1,1,1,1,1,4,1,1,1
738185.479201389,7.85316019167157,7.59302460882422,7.90638980832843,7.674164134953,7.79511210024454,7.81546797558637,7.81985971713609,7.59036972527466,7.81443574211131,7.72687200725009,14,7.83608353282567,15.9837872069429,12.095572123223,16.0645532988267,12.2625052716266,18.968401278887,9.66128709898935,18.5570613179831,10.625514916108,18.8077126156785,9.66281830703237,16.038833223658,9.54575676659619,1,4,1,4,4,4,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1
738185.500034722,7.85312404961801,7.52317683420332,7.90597231409519,7.59295064206566,7.79744447901937,7.79836011728292,7.80696436402335,7.5640425535708,7.80700724052873,7.86073321698587,14,7.82615161148972,16.2612877869744,11.4986339791175,16.3657020844678,12.3950604543388,18.8098784258009,9.94469209446258,18.7487090660338,11.3155604830751,18.947208964986,10.057080944218,16.331276192049,9.92984973730189,1,4,1,1,4,1,1,1,1,4,4,1,1,1,1,1,1,4,1,4,1,1,1,1
738185.520868056,7.84998136671664,7.51307283274122,7.90347221639936,7.64472000529233,7.80276976705811,7.75264956576965,7.80162901560082,7.59839576975415,7.79591578241251,7.83863037362542,14,7.82447003373045,16.0658083617118,11.8259418536222,16.1908714788912,12.8279120059939,19.2187453059499,10.0316685496202,18.3376772526113,11.7614093371935,18.8200535298679,9.86554901222123,16.163431445105,9.84588019715786,1,4,1,1,1,1,1,1,4,4,4,1,1,4,1,1,1,1,1,4,1,1,1,1
738185.541701389,7.849728625,7.592570625,7.898295875,7.58412375,7.798908375,7.8109945,7.815472125,7.570465875,7.793782375,7.84846325,14,7.814986625,16.2929585,12.593133875,16.40643,12.206750125,19.303454625,10.054268625,18.876327125,12.49311825,18.996626,10.108766375,16.41645575,10.145668,1,4,1,1,1,4,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
738185.562534722,7.85203059835943,7.60717462288474,7.90109395082208,7.57521645082707,7.7979217786874,7.85290659835572,7.83149513931606,7.56387209015512,7.79641946723122,7.79506438526148,14,7.82277722130988,16.0441634016023,12.5403868438375,16.1178129753835,12.3263584180308,19.0838128523779,10.1901503114406,18.7052702784127,12.1643740247457,18.7642843279809,10.0540031801888,16.164154114702,10.0108462458503,1,4,1,1,1,4,1,1,4,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1
738185.583368056,7.84807943215398,7.5152059750858,7.89894064405474,7.5649120659537,7.78876782862049,7.74303794742348,7.80648228975971,7.57507728753666,7.80153493200055,7.80697159713131,14,7.81235024464234,16.2157216386072,12.3373188578512,16.3116766978724,12.6525018834395,18.916444389512,10.149849474646,18.7771867502648,12.2928014684542,19.0363660574229,9.93895949015072,16.3391434099129,9.9621728941456,1,4,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
738185.604201389,7.84849705085332,7.52763816892393,7.89868988142954,7.57746328833178,7.79672823730321,7.79750435474645,7.81432381305981,7.5878094410963,7.78183269539085,7.77290859350965,14,7.80405183070511,16.2366745089716,12.4338694862249,16.3199731022256,13.0092426614866,19.2822013899532,10.2933356437451,18.710953590439,13.0977678176737,18.8700144945457,10.1057270180224,16.3343086107458,10.1253445597315,1,4,1,4,4,1,1,1,4,1,4,4,1,1,1,1,1,4,1,4,1,1,1,1
738185.625034722,7.84975179346365,7.65390815809566,7.90148097833642,7.66161228094819,7.76841459822209,7.78654307596803,7.82225413030375,7.64445804395973,7.80494059810904,7.80970947692094,14,7.83997205331109,15.94018697742,13.0501241500184,16.0085384119663,13.3109481209716,18.4513205621395,9.69883869383088,18.4286311861235,12.510951096607,18.8112499763377,9.74374364122934,16.0272903686752,9.73177638075173,1,4,1,4,1,1,1,1,4,4,4,4,1,4,1,4,1,4,1,4,1,1,1,1
738185.645868056,7.849531440604,7.51594939839015,7.90089203386948,7.65193953030233,7.7922431165115,7.80349805030481,7.80521608725673,7.6142369956001,7.79630057745667,7.84554336827897,14,7.86093072533161,16.3208937098701,11.7441428945818,16.392996591232,11.9881208744747,18.6059329797054,9.72779767949473,18.5302594785698,11.625581200115,18.9706531954024,9.86411452617093,16.3818423193453,9.94817144016365,1,4,1,4,4,1,1,1,4,4,4,1,1,4,1,4,1,1,1,1,1,1,1,1
738185.666701389,7.85125695764567,7.56038131342859,7.89111448292934,7.5597138228038,7.77627351707253,7.80688818633466,7.81802089015348,7.60891344152203,7.79597748335972,7.86383777972281,14,7.82685031372957,16.2970302365457,11.8382822018465,16.3497792194718,11.5327067929906,18.8329230200247,9.55539482979414,18.7508667729856,11.7707933934047,18.9468774266619,9.75952616026291,16.3346585159005,9.7398862705023,1,1,1,4,4,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,4,1,4
738185.687534722,7.85872700013127,7.49520524556798,7.90991645769686,7.65598908791188,7.80843083073732,7.80026269466987,7.83572403612851,7.54747657414989,7.80899964429227,7.86052029289733,14,7.83613186467721,16.0030370520698,11.3885982466051,16.086448018834,11.8269100947212,18.6110918511374,9.30755847347106,18.4963215127186,10.7360431483929,18.5359277083366,9.46584789760513,16.0689959677666,9.45376294828345,1,1,1,4,4,1,1,1,4,1,4,4,1,1,1,1,1,1,1,4,1,1,1,1
738185.708368056,7.85895958475186,7.59274352746968,7.90988322761069,7.70069238615464,7.80525722937208,7.79516375437442,7.80055026554167,7.5879198567183,7.79998637537275,7.88232330348092,14,7.84445059423111,16.238493566059,12.1400757466744,16.365978666949,11.8934536796785,19.1849571296169,9.52903937199547,18.4202147012765,11.1187172580684,18.2688815006637,9.73422028232067,16.3278629878996,9.60294514600067,1,1,1,4,1,1,1,1,4,4,4,1,1,1,1,4,1,1,1,1,1,1,1,1
738185.729201389,7.86610885595379,7.52069366520645,7.91155646608722,7.57105949817417,7.7964509747295,7.80797793195281,7.81580435619416,7.56464701016807,7.81049680497295,7.80880900292543,14,7.86141050785126,16.0045460247966,11.0716533349558,16.1352259739248,10.7730773548031,18.7510491930659,9.30788325248337,18.342738767805,10.8802125629638,17.5674892866911,9.45460758487316,16.0964990926699,9.39527785395236,1,1,1,4,1,1,1,1,4,4,4,4,1,4,1,4,1,4,1,4,4,4,1,4
738185.750034722,7.86815745388792,7.54637523939882,7.92288186549674,7.55294242922476,7.78525974734106,7.80095391574083,7.82318599293215,7.613069186356,7.81777868910622,7.84882035060101,14,7.86862747897903,15.8498300530077,11.1039382039528,15.9889633817236,11.0192860008198,18.2955142388902,9.15323637543948,17.9794652277698,10.7552908499863,17.4049083018925,9.35829162800045,15.9588972301458,9.27456700351119,1,1,1,1,4,1,1,1,1,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1
738185.770868056,7.86230764690758,7.47992328852745,7.91519241226244,7.51036681965024,7.78488841121265,7.79853999969115,7.80372282212711,7.59186135433619,7.80826694084292,7.90994629871032,14,7.86277629352989,16.3493038827927,10.8099492630786,16.4752391183826,11.0751921753428,18.8459768379552,9.44054017761121,18.6638130546438,10.982458081379,17.8742231197025,9.58645217541427,16.450863118194,9.49740435189583,1,4,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1
738185.791701389,7.87023573728292,7.48084277149097,7.9172763983157,7.53126439849197,7.81147225417214,7.79077017797689,7.80264061866405,7.55874794921931,7.81908020338054,7.9325049234805,14,7.87696096606983,16.0287400761069,10.7191212140902,16.1705836777875,10.9743925017786,18.5911418375657,9.15957744038984,18.13786635653,10.4426268644232,17.6334757710532,9.33487562680325,16.1298899404746,9.24102843202663,1,4,1,1,1,1,1,1,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1
738185.812534722,7.86843041175986,7.59505070312781,7.91102099995258,7.57474941273154,7.78729547091922,7.80531152988257,7.81209500064128,7.59130729486291,7.81720458830227,7.8744968834337,14,7.8667968237923,16.0245708837109,11.4418433372407,16.1461525896005,11.3942953649707,18.7750222998255,9.38039482578537,17.9933687731435,10.587238473783,17.468082530393,9.50276782378875,16.1112046483392,9.40533229505638,1,1,1,1,1,4,1,1,1,4,4,4,1,1,1,4,1,1,1,1,1,1,1,1
738185.833368056,7.86458701673115,7.56093522789434,7.91690935283049,7.5466375557633,7.78519832663001,7.84757265706163,7.79832103336181,7.59265941226801,7.81723201694255,7.77674481444985,14,7.87263203342765,16.1781192346208,11.5036952782713,16.3100428142385,11.1348532868607,18.5634578525593,9.29171290472979,18.4998621390318,10.5684022342344,17.7766228487369,9.34632982291419,16.2701998228622,9.30304874599351,1,1,1,1,4,4,1,1,4,4,4,4,1,1,1,1,1,4,1,4,1,4,1,4
738185.854201389,7.86816425429523,7.63520240423304,7.92238038989061,7.55300277647016,7.80603866065176,7.82405481308283,7.81461954223422,7.61029820170149,7.81967213552173,7.78851967790478,14,7.87700316961812,15.9146271340074,12.0467845731021,16.0358968122512,11.095206969736,18.8874032036194,9.08279598213939,18.1986435694277,10.4304242655583,17.4389356278319,9.27124641979525,16.0005334223867,9.22155387963695,1,4,1,1,1,1,1,1,4,1,4,4,1,4,1,4,1,1,1,1,1,1,1,4
738185.875034722,7.85870018491876,7.67844141854666,7.91029839470414,7.5900234167666,7.80379873095257,7.8348262424464,7.7951473596697,7.56367976096632,7.8187779748291,7.78368571245023,14,7.87734771433679,16.2796881338771,12.2373217299657,16.4090351679987,11.692819136979,18.7793972317498,9.34030381971109,18.4381642727435,10.3271916532813,17.8162898580622,9.40238470558389,16.3629488496364,9.39331513203619,1,4,1,1,1,1,1,1,4,1,4,4,1,1,1,4,1,1,1,1,1,1,1,1
738185.895868056,7.86836303359163,7.57948364978712,7.90761178098907,7.51776990618106,7.77512998204115,7.81166295724773,7.80120246073263,7.58113994394645,7.82252630243282,7.80724515470249,14,7.88659038675268,15.8574706110348,11.3769646293707,15.9685105344259,10.7394039350867,18.3966638246369,8.97704980367278,17.9322614338697,10.448556975494,17.4655873941336,9.09528747222172,15.9255237364733,9.0554957682852,1,4,1,1,4,4,1,1,1,4,4,4,1,1,1,4,1,4,1,4,1,1,1,1
738185.916701389,7.86199385716763,7.57672606939743,7.91202263873873,7.57547237945696,7.79236773988635,7.79813877299197,7.81845458753378,7.59417037011983,7.81601779843385,7.9089638206542,14,7.86418602592366,16.1665647628326,11.7496332959201,16.2929346366189,11.1788483408683,19.089926211793,9.33588666600817,18.611190717297,10.5715112719239,17.6227892664894,9.46369277951227,16.2459570482243,9.42055663856529,1,4,1,4,1,1,1,1,4,4,4,4,1,1,1,4,1,4,1,4,1,1,1,1
738185.937534722,7.86415322696628,7.4807942133668,7.91325212609166,7.6681828199699,7.79956039419987,7.80315560601211,7.80776606649388,7.57451894156492,7.8090142689433,7.89831140705419,14,7.868176865811,16.0208721336237,10.9125608780223,16.1586719233146,11.768008983638,18.6410669936858,9.21272888685901,18.2468491809423,10.6459700378398,17.5969326556047,9.32953756462946,16.1074213688351,9.23721477734104,1,4,1,4,1,1,1,1,4,4,4,4,1,4,1,4,1,4,1,4,1,4,1,4
738185.958368056,7.85649048747169,7.54280563458491,7.90791016799997,7.55687934270315,7.79893284058829,7.81137055643204,7.80344734590472,7.60194593513387,7.83469818367043,7.90557603184461,14,7.85960617712182,16.24537196831,11.0400413992927,16.3748160524621,10.8895544384946,19.4866015877431,9.33699455216243,18.6506222089697,10.603232576161,18.4629803697604,9.44934556832246,16.3403415899971,9.33523355853651,1,4,1,4,4,1,1,1,1,4,4,4,1,4,1,4,1,4,1,4,4,4,1,1
738185.979201389,7.86068770585977,7.56801517002743,7.8912456471931,7.58777976780663,7.80805200033471,7.83292605809614,7.81177664772255,7.5872389408343,7.80279988238874,7.78217535393732,14,7.86942394129935,16.0196724711642,11.4452344761049,16.1587269418927,11.2206462515474,18.875175753239,9.28263011596762,18.2885054136761,10.4196599410929,17.6453847662249,9.39495276641402,16.0788622357337,9.33324882220774,1,1,1,4,4,4,1,1,4,4,4,4,1,1,1,4,1,4,1,4,1,4,1,1
738186.000034722,7.86455234734367,7.57363900070937,7.91043973780107,7.66179242176534,7.81065855161762,7.79766161000929,7.81989790805944,7.58805315641783,7.80857684808104,7.78584427702263,14,7.86503877092061,15.7660989513598,11.762187277829,15.8981780784111,11.5981234049914,18.5879252418887,9.06710088619102,18.1368530424711,10.3643749652912,17.4265040801846,9.18279601779805,15.8352115360846,9.16012952295961,1,1,1,4,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4
738186.020868056,7.85862341180981,7.554088076955,7.89662237789438,7.58427958968059,7.80770036162472,7.82087572996365,7.80843038601209,7.56564819434794,7.82474023562113,7.78766463402097,14,7.87445433678549,16.1158557796626,11.6051111366471,16.2554577714354,10.9962150933721,18.8600295513998,9.32896644255537,18.4436265982797,10.341709140153,18.0631462697467,9.39525531520304,16.1923869391161,9.38821439372586,1,1,1,4,1,4,1,1,1,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1
738186.041701389,7.86537030002125,7.58506180189397,7.91139656666224,7.54662303229857,7.81199056680054,7.813661933545,7.81087223341831,7.59591963383514,7.80627226664057,7.85187006673705,14,7.86570293323362,15.7424095659611,11.1892436088376,15.8765795325356,10.7065020648918,18.4175640929273,9.00813449947802,18.0227055015442,10.4683370406222,17.3249964993079,9.16572303206011,15.823919199155,9.05003493280991,1,1,1,4,1,1,1,1,1,4,4,4,1,4,1,4,1,4,1,4,1,4,1,4
738186.062534722,7.85843274790526,7.5110189275102,7.90885242024964,7.65285191065843,7.80088509870253,7.8260774529962,7.83444473735589,7.63553234775122,7.81283331912027,7.89729350678909,14,7.88002569709977,16.1981477041652,10.7399845691893,16.3329416029608,11.9385248514755,18.6096623518731,9.35877693190491,18.7437952508015,10.4841265334248,17.7129666546983,9.47500428230814,16.2686774183982,9.42885878065807,1,1,1,4,4,1,1,4,4,4,4,4,1,4,1,1,1,1,1,4,1,1,1,1
738186.083368056,7.85990985729772,7.5611263721729,7.91734831052095,7.67207856045079,7.78999781439533,7.8062951422522,7.82481934343047,7.5206017589812,7.80855664677952,7.86153368365328,14,7.87624806668752,15.927698038617,11.3317707921884,16.0674767526863,11.6040913052431,18.3369801691138,9.05654589494486,18.440465969584,10.1833274960157,17.5569162838515,9.2451521549034,16.0068885679882,9.16136059798163,1,4,1,4,4,1,1,4,4,4,4,4,1,1,1,1,4,1,1,4,1,4,1,4
738186.104201389,7.85509460000181,7.59111749906684,7.90864650004685,7.66904550300466,7.79505819996808,7.8063551996147,7.81932970064157,7.50054709833239,7.79948510009074,7.82698500179172,14,7.85697240000489,16.1950147994837,11.3793072908186,16.3274846995073,11.8049567178382,19.4250659994823,9.34917899892091,18.7702386050977,10.256605595691,17.8968526909824,9.36885319917046,16.2709212994791,9.39119669855246,1,1,1,4,1,1,1,4,4,1,4,4,1,1,1,1,4,4,1,4,4,1,1,1
738186.125034722,7.85002688229137,7.58356476812274,7.91211938613803,7.52567899282734,7.79292024370664,7.81100357926519,7.80627612768442,7.59140447827343,7.81480646865382,7.83419327987623,14,7.86038514243139,16.152906842977,11.8057622914377,16.2808929864115,11.2169608797601,19.4930162322989,9.23604949058528,18.7028715432582,10.3701493628791,18.7453604420175,9.3578480531118,16.2184827335287,9.29589345694801,1,1,1,4,1,1,1,1,4,1,4,4,1,4,1,1,1,4,1,4,4,1,1,1
738186.145868056,7.85257011752699,7.5654349338967,7.90979863866705,7.61341448346722,7.7921119831129,7.79952041165463,7.80327243819125,7.57370739607054,7.80468449699807,7.78041161958978,14,7.86191170547037,16.1762343286469,11.6398548810523,16.3192180601687,11.4560679015882,19.5577854462952,9.22785742345967,18.7471299524975,10.1154513146639,18.8017630396361,9.29380893536259,16.2480623286296,9.29350775847432,1,1,1,4,4,1,1,1,4,4,4,4,1,4,1,1,1,4,1,4,1,1,1,1
