Num,POP,Site,Bin,Header,Trt,Sample ID,WetWtI,BuoyWtI,LengthI,WidthI,WetWtF,BuoyWtF,LengthF,WidthF,Disease,Grazing,VTYPE,RUN,CS,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Problem,CF,SpineLoss,Gfoil,Sfoil,Ganimal,Sanimal,G_AFDW,S_AFDW,Time,Status
90,SOUTH,PV,9A,9,SF,PV_SF10,48.9812,8.6276,23,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1
91,SOUTH,PV,9B,9,SF,PV_SF11,29.1451,4.6037,22,43,28.6074,4.8098,21,42,N,0.645,L,8,S,14:53,7.66,18.5,14:57,7.2,18.5,15:01,7.03,18.5,15:04,6.89,18.5,15:07,6.77,18.5,15:10,6.64,18.5,15:14,6.5,18.5,M,F,Y,0.624,1.3889,0.6333,9.8424,0.6287,9.0403,83,0
92,SOUTH,WP,6A,6,NC,WP_NC1,14.3456,2.4432,16,34,16.5688,2.6787,17,35,N,1.581,L,9,S,11:22,7.18,10.7,11:26,7.03,10.6,11:31,6.88,10.6,11:36,6.73,10.6,11:42,6.57,10.6,11:47,6.48,10.6,11:53,6.4,10.6,G,C,N,0.6487,1.4204,0.7754,6.4115,0.6652,5.6357,83,0
93,SOUTH,WP,6A,6,NC,WP_NC2,13.8874,2.4994,17,35,15.6606,2.7528,15,33,N,1.815,L,9,S,11:22,7.24,10.7,11:27,7.07,10.6,11:32,6.92,10.6,11:36,6.81,10.6,11:43,6.63,10.6,11:47,6.53,10.6,11:54,6.38,10.6,G,C,N,0.675,1.5098,0.7533,6.6474,0.6878,5.8929,83,0
94,SOUTH,WP,6B,6,NC,WP_NC3,28.8589,5.3523,34,41,29.4401,5.297,20,40,N,-0.041,L,9,S,11:22,7.37,10.7,11:27,7.11,10.6,11:32,6.84,10.6,11:36,6.61,10.6,11:43,6.36,10.6,11:47,6.21,10.6,11:54,5.97,10.6,G,C,N,0.6525,1.5087,0.7489,11.0442,0.6667,9.8698,83,0
95,SOUTH,WP,6B,6,NC,WP_NC4,8.2323,1.5227,15,28,9.7982,1.7825,14,28,N,0.695,S,9,S,11:19,7.61,10.6,11:24,7.36,10.6,11:28,7.19,10.6,11:33,6.92,10.6,11:39,6.66,10.6,11:44,6.49,10.6,11:49,6.37,10.6,G,C,N,0.6614,1.4524,0.6904,4.7638,0.6688,4.2881,83,0
96,SOUTH,WP,10A,10,NC,WP_NC5,27.584,4.6771,20,40,28.5888,4.7884,24,44,N,2.351,L,9,S,11:23,7.85,10.6,11:28,7.59,10.6,11:33,7.33,10.6,11:37,7.11,10.6,11:43,6.9,10.6,11:48,6.74,10.6,11:54,6.52,10.6,G,C,Y,0.6791,1.7001,0.822,10.5339,0.6996,9.3503,83,0
97,SOUTH,WP,10A,10,NC,WP_NC6,1.5565,0.2848,8,16,2.9938,0.5155,12,20,N,0.274,S,9,S,11:20,8.35,10.7,11:24,8.14,10.6,11:30,7.94,10.6,11:34,7.78,10.6,11:40,7.63,10.6,11:45,7.51,10.6,11:50,7.38,10.6,G,C,N,0.6804,1.6918,0.6943,2.7106,0.6842,2.5377,83,0
98,SOUTH,WP,10B,10,NC,WP_NC7,45.2361,9.0188,25,44,43.0111,7.3782,23,46,N,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.6672,1.6627,0.7473,14.6125,0.6886,13.4985,83,0
99,SOUTH,WP,10B,10,NC,WP_NC8,41.9886,7.3834,25,48,42.5025,6.839,28,46,N,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.6813,1.6037,0.7561,13.8476,0.7058,12.4292,83,0
100,SOUTH,WP,12A,12,NC,WP_NC9,93.9138,17.075,29,63,90.4681,14.9793,35,63,N,0.878,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.6665,1.7435,0.9911,28.2464,0.7153,25.2489,83,0
101,SOUTH,WP,12A,12,NC,WP_NC10,4.2848,0.8146,10,24,6.4078,1.1795,14,26,N,-0.004,S,9,S,11:21,8.4,10.7,11:25,8.08,10.6,11:30,7.73,10.6,11:35,7.48,10.6,11:41,7.24,10.6,11:46,7.03,10.6,11:50,6.85,10.6,G,C,N,0.6851,1.6284,0.7024,3.8227,0.6889,3.4887,83,0
102,SOUTH,WP,12B,12,NC,WP_NC11,9.8404,1.8257,13,28,12.1276,2.1053,18,32,N,0.895,S,9,S,11:21,8.42,10.7,11:25,7.91,10.6,11:31,7.45,10.6,11:35,7.14,10.6,11:42,6.76,10.6,11:46,6.54,10.6,11:50,6.31,10.6,G,C,N,0.7416,1.6495,0.7699,5.5215,0.7476,4.9446,83,0
103,SOUTH,WP,12B,12,NC,WP_NC12,3.8017,0.6241,11,22,5.662,0.8667,14,25,N,0.051,S,9,S,11:21,8.54,10.7,11:26,8.16,10.6,11:31,7.84,10.6,11:36,7.57,10.6,11:42,7.33,10.6,11:46,7.18,10.6,11:53,6.97,10.6,G,C,N,0.6968,1.6618,0.7247,3.3564,0.7018,3.0608,83,0
104,SOUTH,WP,2A,2,NF,WP_NF1,58.3004,11.5183,30,54,57.8739,11.2613,28,51,Y,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,F,N,0.6782,1.6788,0.8552,21.4925,0.7015,19.488,83,0
105,SOUTH,WP,2A,2,NF,WP_NF2,4.3635,0.7418,12,23,5.8324,1.043,14,27,N,0.392,S,10,S,12:25,7.56,13,12:29,7.35,13.1,12:33,7.2,13.1,12:37,7.06,13.1,12:41,6.96,13.1,12:44,6.85,13.1,12:48,6.74,13.1,G,F,N,0.7301,2.3956,0.7475,4.1844,0.735,3.9002,83,0
106,SOUTH,WP,2B,2,NF,WP_NF3,54.6029,9.8534,22,50,53.3969,9.1052,25,49,N,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,F,N,0.7662,2.3827,2.4806,28.978,0.9694,25.7294,83,0
107,SOUTH,WP,2B,2,NF,WP_NF4,26.153,4.7722,19,40,25.5823,4.1126,18,40,N,0.031,L,10,S,12:28,7.19,13.1,12:32,7.03,13.1,12:36,6.91,13.1,12:39,6.78,13.1,12:43,6.68,13.1,12:47,6.59,13.1,12:50,6.51,13.1,G,F,N,0.7578,1.7338,0.7996,9.1198,0.7674,8.2807,83,0
108,SOUTH,WP,4A,4,NF,WP_NF5,49.2872,10.553,24,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7049,1.8853,0.8237,19.7601,0.7281,17.8623,83,0
109,SOUTH,WP,4A,4,NF,WP_NF6,12.0422,2.1217,14,33,12.7104,2.1866,18,34,N,0.382,S,10,S,12:26,7.46,13.1,12:30,7.16,13.1,12:34,6.89,13.1,12:38,6.65,13.1,12:41,6.48,13.1,12:45,6.31,13.1,12:48,6.16,13.1,G,F,N,0.6695,1.8565,0.7082,5.7858,0.6792,5.2753,83,0
110,SOUTH,WP,4B,4,NF,WP_NF7,3.6576,0.6551,12,21,5.627,0.8712,14,24,N,0.368,S,10,S,12:26,7.83,13.1,12:30,7.52,13.1,12:34,7.33,13.1,12:38,7.18,13.1,12:42,7.04,13.1,12:45,6.94,13.1,12:48,6.83,13.1,G,F,N,0.7132,1.9934,0.7444,3.6318,0.7313,3.3743,83,0
111,SOUTH,WP,4B,4,NF,WP_NF8,3.9015,0.6516,11,22,5.1894,0.8308,13,22,N,0.529,S,10,S,12:27,7.97,13.1,12:31,7.77,13.1,12:35,7.6,13.1,12:38,7.42,13.1,12:42,7.29,13.1,12:45,7.16,13.1,12:49,7.05,13.1,G,F,N,0.6471,2.1127,0.6879,3.6808,0.6556,3.4378,83,0
112,SOUTH,WP,8A,8,NF,WP_NF9,3.7445,0.6104,11,21,5.1514,0.7994,14,24,N,0.53,S,10,S,12:27,8.05,13.1,12:31,7.66,13.1,12:35,7.38,13.1,12:39,7.17,13.1,12:42,6.99,13.1,12:46,6.81,13.1,12:49,6.66,13.1,F,F,N,0.6966,2.0972,0.7323,3.6438,0.7036,3.3884,83,0
113,SOUTH,WP,8A,8,NF,WP_NF10,20.0366,3.4909,19,37,20.4668,3.46,18,37,N,1.111,L,10,S,12:28,7.79,13.1,12:32,7.55,13.1,12:36,7.02,13.1,12:40,6.78,13.1,12:43,6.59,13.1,12:47,6.43,13.1,12:50,6.3,13.1,M,F,N,0.6941,1.9369,0.7183,8.2194,0.7032,7.3167,83,0
114,SOUTH,WP,8B,8,NF,WP_NF11,7.3469,1.3459,13,27,8.8302,1.5079,15,28,N,0.47,S,10,S,12:27,8.41,13.1,12:31,8.04,13.1,12:35,7.59,13.1,12:39,7.36,13.1,12:43,7.12,13.1,12:46,6.98,13.1,12:50,6.83,13.1,G,F,N,0.6998,1.8693,0.7274,4.6911,0.705,4.2999,83,0
115,SOUTH,WP,8B,8,NF,WP_NF12,20.3183,3.5855,20,40,20.2865,3.5075,19,38,N,0.105,L,10,S,12:29,8.16,13.1,12:32,7.75,13.1,12:36,7.42,13.1,12:40,7.14,13.1,12:44,6.93,13.1,12:47,6.69,13.1,12:51,6.51,13.1,M,F,N,0.6924,1.8183,0.722,8.0989,0.6985,7.4159,83,0
116,SOUTH,WP,1A,1,SC,WP_SC1,49.8083,9.984,24,48,45.0825,7.6717,24,49,Y,2.034,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.6587,1.807,0.7156,15.4549,0.6725,13.9234,83,0
117,SOUTH,WP,1A,1,SC,WP_SC2,3.1201,0.5633,10,22,4.8187,0.7931,14,23,N,0.503,S,11,S,13:45,9.23,16,13:50,8.98,15.9,13:55,8.75,15.9,14:01,8.52,15.9,14:06,8.31,15.9,14:12,8.11,15.9,14:15,8.02,15.9,G,C,N,0.6374,1.8782,0.653,3.3999,0.642,3.1773,83,0
118,SOUTH,WP,1B,1,SC,WP_SC3,28.7006,5.0817,21,43,29.2847,5.0014,21,43,N,0.505,L,11,S,13:48,9.21,15.9,13:53,8.51,15.9,14:00,8.03,15.9,14:04,7.79,15.9,14:10,7.55,15.9,14:14,7.37,15.9,14:18,7.2,15.9,M,C,N,0.6688,1.8276,0.7712,10.7032,0.6875,9.7082,83,0
119,SOUTH,WP,1B,1,SC,WP_SC4,56.3617,9.1695,25,54,55.3792,8.7513,23,51,N,3.213,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.6533,1.9532,0.7091,18.2976,0.6655,16.4737,83,0
120,SOUTH,WP,3A,3,SC,WP_SC5,11.1266,2.1398,17,31,11.4566,2.1515,15,31,N,0.329,S,11,S,13:46,9.09,16,13:50,8.74,15.9,13:56,8.35,15.9,14:02,8.04,15.9,14:06,7.75,15.9,14:12,7.42,15.9,14:16,7.26,15.9,G,C,N,0.6976,1.8542,0.7205,5.7532,0.7018,5.2333,83,0
121,SOUTH,WP,3A,3,SC,WP_SC6,30.4219,5.3507,21,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,1
122,SOUTH,WP,3B,3,SC,WP_SC7,15.5384,2.7407,16,34,15.4201,2.6034,18,35,N,,L,11,S,13:49,9.22,15.9,13:54,8.74,15.9,14:00,8.45,15.9,14:05,8.32,15.9,14:10,8.04,15.9,14:14,7.94,15.9,14:19,7.78,15.9,M,C,N,0.6993,1.6124,0.7523,6.3721,0.7094,5.7724,83,0
123,SOUTH,WP,3B,3,SC,WP_SC8,5.2297,0.8633,12,24,6.6785,1.0966,14,25,N,1.042,S,11,S,13:47,9.42,16,13:51,9.1,15.9,13:57,8.69,15.9,14:03,8.39,15.9,14:07,8.22,15.9,14:13,7.97,15.9,14:17,7.81,15.9,G,C,N,0.6288,1.6584,0.6733,3.7707,0.6356,3.4447,83,0
124,SOUTH,WP,11A,11,SC,WP_SC9,2.8533,0.523,10,21,5.1202,0.8875,11,25,N,0.824,S,11,S,13:47,9.64,15.9,13:51,9.38,15.9,13:57,9.04,15.9,14:03,8.7,15.9,14:07,8.55,15.9,14:13,8.29,15.9,14:17,8.14,15.9,G,C,N,0.6254,1.5125,0.6597,3.2385,0.6324,2.9794,83,0
125,SOUTH,WP,11A,11,SC,WP_SC10,3.7493,0.633,12,23,5.9036,0.9197,14,26,N,1.179,S,11,S,13:48,9.74,15.9,13:52,9.46,15.9,13:59,8.93,15.9,14:04,8.57,15.9,14:08,8.4,15.9,14:13,8.23,15.9,14:17,8.08,15.9,G,C,N,0.6857,1.3571,0.7087,3.1562,0.6905,2.8824,83,0
126,SOUTH,WP,11B,11,SC,WP_SC11,5.78,1.0782,12,25,7.1571,1.2924,14,28,N,0.928,S,11,S,13:48,9.7,15.9,13:52,9.35,15.9,13:59,8.87,15.9,14:04,8.54,15.9,14:09,8.3,15.9,14:14,8.07,15.9,14:18,7.86,15.9,G,C,N,0.8124,2.0217,0.8492,4.4207,0.8198,4.0771,83,0
127,SOUTH,WP,11B,11,SC,WP_SC12,47.7482,9.5928,23,47,42.793,7.6324,23,47,N,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.7219,2.0519,0.7623,15.3831,0.7366,14.093,83,0
128,SOUTH,WP,6A,6,SF,WP_SF1,52.6618,10.9998,26,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1
129,SOUTH,WP,6A,6,SF,WP_SF2,89.5946,15.1025,29,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1
130,SOUTH,WP,6B,6,SF,WP_SF3,7.7476,1.4503,14,27,8.1656,1.4816,16,26,N,0.527,S,12,S,14:41,8.13,18.2,14:45,7.75,18.6,14:51,7.56,18.7,14:54,7.37,18.6,15:00,7.2,18.6,15:04,6.94,18.7,15:07,6.81,18.6,G,F,N,0.7693,1.8751,0.7827,4.5891,0.7751,4.2272,83,0
131,SOUTH,WP,6B,6,SF,WP_SF4,20.1312,3.5406,19,36,19.7943,3.3525,18,37,N,0.312,L,12,S,14:45,7.73,18.5,14:50,7.47,18.7,14:54,7.34,18.6,14:59,7.17,18.6,15:04,7.05,18.6,15:07,6.94,18.6,15:11,6.82,18.6,G,F,N,0.8113,1.841,0.825,7.8031,0.8171,7.1505,83,0
132,SOUTH,WP,7A,7,SF,WP_SF5,2.9162,0.472,8,19,4.199,0.6535,13,23,N,0.445,S,12,S,14:42,8.31,18.4,14:48,7.95,18.7,14:51,7.84,18.7,14:55,7.72,18.6,15:01,7.52,18.6,15:05,7.38,18.6,15:08,7.29,18.6,G,F,N,0.7624,1.5481,0.781,2.8058,0.7677,2.6076,83,0
133,SOUTH,WP,7A,7,SF,WP_SF6,8.3317,3.4436,16,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1
134,SOUTH,WP,7B,7,SF,WP_SF7,30.4824,5.6527,24,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,1
135,SOUTH,WP,7B,7,SF,WP_SF8,8.3927,1.4612,15,30,8.941,1.5003,14,28,N,-0.317,S,12,S,14:43,8.12,18.4,14:48,7.73,18.7,14:52,7.54,18.7,14:56,7.35,18.6,15:02,7.08,18.6,15:05,6.92,18.6,15:09,6.79,18.6,G,F,N,0.7115,1.7294,0.723,4.4859,0.7181,4.1528,83,0
136,SOUTH,WP,9A,9,SF,WP_SF9,6.3324,1.1054,15,27,7.0693,1.2124,14,26,N,0.2,S,12,S,14:43,8.36,18.4,14:49,7.93,18.7,14:52,7.75,18.7,14:56,7.55,18.6,15:02,7.28,18.6,15:06,7.12,18.6,15:09,6.99,18.6,G,F,N,0.7505,1.6451,0.7835,3.8665,0.757,3.5603,83,0
137,SOUTH,WP,9A,9,SF,WP_SF10,50.2893,9.2812,28,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1
138,SOUTH,WP,9B,9,SF,WP_SF11,35.7764,5.9042,27,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0
139,SOUTH,WP,9B,9,SF,WP_SF12,10.1127,2.0007,14,29,11.0149,1.9619,17,28,N,0.257,S,12,S,14:44,8.36,18.5,14:49,7.76,18.7,14:53,7.45,18.7,14:58,6.93,18.7,15:03,6.52,18.6,15:06,6.22,18.6,15:10,5.82,18.6,G,F,N,0.7138,1.6015,0.733,5.1865,0.7188,4.7359,83,0
140,NORTH,PA,6A,6,NC,PA_NC1,32.812,5.3053,25,43,33.5691,5.1101,26,42,N,0.208,L,21,S,10:48,7.42,10.7,10:54,7.18,10.7,10:59,6.95,10.6,11:05,6.74,10.6,11:09,6.56,10.6,11:14,6.41,10.6,11:19,6.24,10.6,G,C,N,0.743,1.8905,1.4857,11.0431,0.805,9.8233,83,0
141,NORTH,PA,6A,6,NC,PA_NC2,12.0748,1.7858,17,33,14.4601,1.9993,19,33,N,0.845,S,21,S,10:44,7.4,10.7,10:51,7.14,10.7,10:56,6.67,10.6,11:01,6.19,10.6,11:07,5.85,10.6,11:11,5.63,10.6,11:16,5.46,10.6,G,C,N,0.8998,1.8625,0.9975,5.5936,0.9156,4.9794,83,0
142,NORTH,PA,6A,6,NC,PA_NC3,23.6196,3.8896,23,42,25.4758,3.9177,22,41,N,0.796,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.9213,1.8413,1.332,8.9433,0.9566,8.0062,83,0
143,NORTH,PA,6B,6,NC,PA_NC4,16.2778,2.7348,20,33,18.766,2.905,20,35,N,0.993,L,21,S,10:48,8.01,10.7,10:54,7.86,10.7,10:59,7.73,10.6,11:05,7.58,10.6,11:10,7.48,10.6,11:14,7.38,10.6,11:19,7.26,10.6,G,C,N,0.8725,1.7823,1.0681,7.1048,0.8955,6.3069,83,0
144,NORTH,PA,6B,6,NC,PA_NC5,9.8598,1.6501,15,29,11.8567,1.843,17,31,N,1.496,S,21,S,10:45,8.03,10.7,10:51,7.58,10.7,10:56,7.33,10.6,11:01,7.02,10.6,11:07,6.7,10.6,11:11,6.5,10.6,11:16,6.26,10.6,G,C,N,0.931,1.7639,1.0338,5.1561,0.9458,4.6379,83,0
145,NORTH,PA,6B,6,NC,PA_NC6,21.6203,3.4754,19,40,22.9829,3.5164,21,40,N,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.8234,1.7624,1.1532,8.1165,0.8555,7.0666,83,0
146,NORTH,PA,10A,10,NC,PA_NC7,26.2392,4.524,21,41,27.415,4.372,24,41,N,0.202,L,21,S,10:49,7.9,10.7,10:55,7.72,10.7,11:00,7.48,10.6,11:06,7.27,10.6,11:10,7.12,10.6,11:15,6.98,10.6,11:20,6.76,10.6,M,C,N,0.7908,1.724,1.382,9.5613,0.8357,8.5016,83,0
147,NORTH,PA,10A,10,NC,PA_NC8,19.5598,3.1234,20,38,20.3625,3.1363,24,39,N,0.926,L,21,S,10:49,8.41,10.7,10:55,8.21,10.7,11:00,8.04,10.6,11:06,7.9,10.6,11:10,7.76,10.6,11:16,7.64,10.6,11:20,7.52,10.6,G,C,N,0.7784,1.7418,1.1931,7.4578,0.8102,6.5755,83,0
148,NORTH,PA,10A,10,NC,PA_NC9,11.3907,2.1326,16,30,13.0807,2.2762,19,32,N,0.757,S,21,S,10:45,8.42,10.7,10:51,8.08,10.7,10:57,7.68,10.6,11:02,7.23,10.6,11:07,7,10.6,11:12,6.79,10.6,11:17,6.56,10.6,G,C,N,0.7646,1.9136,0.8366,6.0533,0.7761,5.4663,83,0
149,NORTH,PA,10B,10,NC,PA_NC10,5.0779,0.9108,11,23,6.5602,1.126,14,27,N,0.526,S,21,S,10:45,8.3,10.7,10:52,7.98,10.7,10:57,7.76,10.6,11:03,7.53,10.6,11:08,7.31,10.6,11:12,7.18,10.6,11:17,6.99,10.6,G,C,N,0.7713,1.8833,0.8416,4.1126,0.7792,3.7274,83,0
150,NORTH,PA,10B,10,NC,PA_NC11,3.9222,0.6954,12,22,6.0064,0.9947,15,25,N,0.338,S,21,S,10:46,8.67,10.7,10:52,8.36,10.7,10:58,8.13,10.6,11:03,7.91,10.6,11:08,7.73,10.6,11:13,7.59,10.6,11:18,7.44,10.6,M,C,N,0.7988,1.647,0.8859,3.5227,0.8303,3.2278,83,0
151,NORTH,PA,10B,10,NC,PA_NC12,22.2652,3.7097,20,48,23.9266,3.6846,23,40,N,0.855,L,21,S,10:48,8.38,10.7,10:54,8.05,10.7,11:00,7.75,10.6,11:05,7.5,10.6,11:10,7.28,10.6,11:15,7.07,10.6,11:19,6.88,10.6,G,C,N,0.8337,1.8426,1.3361,8.4882,0.8711,7.473,83,0
152,NORTH,PA,12A,12,NC,PA_NC13,6.0983,0.9948,13,26,7.2225,1.1105,16,26,N,0.677,S,21,S,10:46,8.64,10.7,10:53,8.36,10.7,10:58,8.21,10.6,11:04,7.9,10.6,11:09,7.66,10.6,11:13,7.48,10.6,11:18,7.32,10.6,G,C,N,0.9412,1.9121,0.9761,4.0748,0.9507,3.6911,83,0
153,NORTH,PA,12A,12,NC,PA_NC14,13.3179,2.1263,19,33,15.3022,2.3037,21,34,N,0.927,S,21,S,10:47,8.74,10.7,10:53,8.26,10.7,10:58,7.69,10.6,11:04,7.32,10.6,11:09,6.9,10.6,11:13,6.6,10.6,11:18,6.29,10.6,G,C,N,0.7092,1.8282,0.8524,6.0607,0.7251,5.3651,83,0
154,NORTH,PA,12A,12,NC,PA_NC15,31.1205,5.2618,21,43,31.3382,5.15,24,44,N,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.7986,1.8207,1.1484,11.138,0.8355,9.8473,83,0
155,NORTH,PA,12B,12,NC,PA_NC16,6.7221,1.1771,15,25,8.5434,1.3991,14,27,N,0.635,S,21,S,10:47,8.84,10.7,10:53,8.6,10.7,10:59,8.25,10.6,11:04,8.05,10.6,11:09,7.85,10.6,11:14,7.67,10.6,11:19,7.48,10.6,G,C,N,0.7379,1.7838,0.8304,4.4207,0.7479,4.0169,83,0
156,NORTH,PA,12B,12,NC,PA_NC17,14.9727,2.3681,17,33,16.4368,2.4838,21,35,N,1.009,L,21,S,10:50,8.8,10.7,10:55,8.52,10.6,11:01,8.26,10.6,11:06,8.04,10.6,11:11,7.88,10.6,11:16,7.74,10.6,11:20,7.63,10.6,G,C,N,0.6575,1.7473,0.7831,6.3749,0.6721,5.6772,83,0
157,NORTH,PA,12B,12,NC,PA_NC18,6.8582,1.0741,16,25,7.7462,1.1903,14,28,N,0.537,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.6896,1.7244,0.7537,3.9961,0.704,3.635,83,0
158,NORTH,PA,2A,2,NF,PA_NF1,14.1422,2.2872,17,33,14.3279,2.2474,20,33,N,0.076,S,22,S,12:18,7.04,13.1,12:24,6.56,13.1,12:30,6.19,13.2,12:37,5.79,13.2,12:43,5.5,13.2,12:49,5.07,13.2,12:55,4.72,13.2,G,F,N,0.6813,2.1854,0.7386,6.2829,0.6918,5.7174,83,0
159,NORTH,PA,2A,2,NF,PA_NF2,38.2572,6.3074,24,45,33.2288,4.4406,,,Y,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,F,N,0.6929,2.098,1.5715,9.8898,0.7597,8.9915,83,0
160,NORTH,PA,2A,2,NF,PA_NF3,5.8005,0.9704,13,25,6.5413,1.0657,15,25,N,0.399,S,22,S,12:19,8,13.1,12:25,7.49,13.1,12:31,7.25,13.2,12:38,7.05,13.2,12:44,6.96,13.2,12:50,6.71,13.2,12:56,6.52,13.2,G,F,N,0.7785,1.9712,0.8269,3.9772,0.7881,3.6551,83,0
161,NORTH,PA,2B,2,NF,PA_NF4,39.7965,6.2417,24,47,39.1556,5.5338,26,48,N,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,F,N,0.7093,2.011,1.3323,11.8537,0.6133,10.5869,83,0
162,NORTH,PA,2B,2,NF,PA_NF5,6.1169,1.074,13,26,7.2736,1.204,16,28,N,0.635,S,22,S,12:20,7.6,13.1,12:25,7.35,13.2,12:31,7.11,13.2,12:38,6.87,13.2,12:44,6.7,13.2,12:40,6.48,13.2,12:56,6.33,13.2,G,F,N,0.7122,1.8319,0.7769,4.034,0.7261,3.7046,83,0
163,NORTH,PA,2B,2,NF,PA_NF6,30.1707,4.4852,23,44,30.8472,4.2529,21,43,N,0.117,L,22,S,12:21,7.37,13.1,12:27,7.02,13.1,12:34,6.73,13.2,12:40,6.42,13.2,12:46,6.15,13.2,12:52,5.91,13.2,12:58,5.68,13.2,M,F,N,0.7282,1.873,1.5007,9.5,0.77902,8.4581,83,0
164,NORTH,PA,4A,4,NF,PA_NF7,12.3425,1.9907,17,32,12.7336,1.9754,17,33,N,0.41,S,22,S,12:20,7.55,13.1,12:26,7.09,13.1,12:32,6.59,13.2,12:39,6.25,13.2,12:44,6.03,13.2,12:50,5.72,13.2,12:56,5.38,13.2,G,F,N,0.7685,1.9486,0.7966,5.5768,0.7783,5.0679,83,0
165,NORTH,PA,4A,4,NF,PA_NF8,25.2743,4.0641,21,38,23.9455,3.2208,25,37,N,0.204,L,22,S,12:21,8.26,13.1,12:28,8.14,13.1,12:35,7.85,13.2,12:41,7.62,13.2,12:46,7.4,13.2,12:53,7.22,13.2,12:58,7.36,13.2,M,F,N,0.727,1.9656,0.9452,7.7956,0.74988,6.9074,83,0
166,NORTH,PA,4A,4,NF,PA_NF9,35.6535,5.4938,27,47,32.9998,4.6148,27,45,Y,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,F,N,0.8277,1.7944,1.3043,10.0276,0.8715,9.0747,83,0
167,NORTH,PA,4B,4,NF,PA_NF10,9.0513,1.5501,14,30,10.067,1.5934,17,32,N,0.509,S,22,S,12:20,7.81,13.1,12:26,7.48,13.1,12:33,7.18,13.2,12:39,6.93,13.2,12:45,6.73,13.2,12:51,6.54,13.2,12:57,6.32,13.2,G,F,N,0.6237,1.7605,0.6802,4.7147,0.6324,4.2788,83,0
168,NORTH,PA,4B,4,NF,PA_NF11,16.2688,2.4815,19,33,16.8829,2.3984,24,36,N,0.104,S,22,S,12:20,7.19,13.1,12:26,6.56,13.1,12:33,5.89,13.2,12:39,5.4,13.2,12:45,4.74,13.2,12:51,4.18,13.2,12:57,3.77,13.2,G,F,N,0.7998,2.1494,1.0096,6.5685,0.8217,5.8945,83,0
169,NORTH,PA,4B,4,NF,PA_NF12,23.7993,3.9652,22,39,24.1409,3.8297,24,41,N,0.093,L,22,S,12:22,7.99,13.1,12:28,7.7,13.1,12:35,7.42,13.2,12:41,7.16,13.2,12:47,6.94,13.2,12:53,6.74,13.2,12:59,6.54,13.2,M,F,N,0.4452,2.0816,0.8041,8.9214,0.4771,8.0543,83,0
170,NORTH,PA,8A,8,NF,PA_NF13,20.5241,3.0637,23,39,21.0236,2.8914,26,37,N,0.264,L,22,S,12:22,8.06,13.1,12:29,7.73,13.1,12:35,7.43,13.2,12:41,7.19,13.2,12:47,6.98,13.2,12:53,6.8,13.2,12:59,6.63,13.2,G,F,N,0.3468,1.5219,0.4432,6.8895,0.3659,6.1092,83,0
171,NORTH,PA,8A,8,NF,PA_NF14,29.7964,4.6192,24,43,29.6599,4.3476,27,43,N,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,F,N,0.4193,1.8019,0.9058,9.6941,0.4603,8.6332,83,0
172,NORTH,PA,8A,8,NF,PA_NF15,16.1896,2.5412,20,37,16.8486,2.5695,22,37,N,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,F,N,0.8323,1.7843,0.9793,6.5094,0.8485,5.8465,83,0
