Num,POP,Site,Bin,Header,Trt,Sample ID,WetWtI,BuoyWtI,LengthI,WidthI,WetWtF,BuoyWtF,LengthF,WidthF,Disease,Grazing,VTYPE,RUN,CS,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Problem,CF,SpineLoss,Gfoil,Sfoil,Ganimal,Sanimal,G_AFDW,S_AFDW,Time,Status
20,SOUTH,HA,4B,4,NF,HA_NF8,44.9463,7.9868,25,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1
21,SOUTH,HA,8A,8,NF,HA_NF9,39.2326,5.2526,29,46,39.3617,5.2108,25,50,N,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,F,Y,0.7511,1.9878,0.8471,11.3793,0.7654,10.3442,83,0
22,SOUTH,HA,8A,8,NF,HA_NF10,5.6437,0.8879,14,25,7.3778,1.1884,15,29,N,1.005,S,2,S,12:51,5.93,13,12:54,5.68,13,12:57,5.53,13,13:00,5.36,13,13:04,5.21,13,13:07,5.1,13,13:10,5.04,13,G,F,N,0.7336,2.0208,0.7539,4.3162,0.7387,3.9576,83,0
23,SOUTH,HA,8B,8,NF,HA_NF11,12.5392,1.9924,17,31,14.2309,2.2598,17,33,N,0.825,L,2,S,12:52,6.16,13,12:55,5.95,13,12:59,5.72,13,13:01,5.6,13,13:05,5.41,13,13:08,5.31,13,13:11,5.19,13,F,F,N,0.7622,2.0815,0.7883,6.2767,0.766,5.7064,83,0
24,SOUTH,HA,8B,8,NF,HA_NF12,2.8273,0.4616,10,21,4.8615,0.7281,14,23,N,0.572,S,2,S,12:52,5.87,13,12:54,5.76,13,12:58,5.58,13,13:00,5.48,13,13:05,5.36,13,13:07,5.27,13,13:10,5.22,13,G,F,N,0.6445,2.0012,0.6713,3.4362,0.6494,3.1931,83,0
25,SOUTH,HA,1A,1,SC,HA_SC1,38.1036,6.2502,23,46,37.1679,6.2496,25,48,Y,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.6653,2.0611,0.7288,13.2098,0.6786,11.9766,83,0
26,SOUTH,HA,1A,1,SC,HA_SC2,5.9111,0.9941,12,24,7.5526,1.2081,15,26,N,1.107,S,3,S,13:39,9.26,15.9,13:43,9.05,16.1,13:46,9.02,16.1,13:49,8.87,16.1,13:53,8.78,16.1,13:56,8.68,16.1,14:00,8.57,16.1,G,C,N,0.7026,1.9111,0.7369,4.2124,0.7104,3.8717,83,0
27,SOUTH,HA,1B,1,SC,HA_SC3,20.4147,3.3632,22,40,21.6049,3.8061,23,38,N,0.757,L,3,S,13:41,9.61,16,13:45,9.36,16.1,13:48,9.2,16.1,13:52,9.08,16.1,13:56,8.96,16.1,13:59,8.83,16.1,14:02,8.73,16.1,G,C,N,0.7423,1.8953,0.7858,8.7664,0.7477,7.96336,83,0
28,SOUTH,HA,1B,1,SC,HA_SC4,2.2364,0.3354,9,17,4.5882,0.6847,13,24,N,0.513,S,3,S,13:39,9.64,16,13:43,9.37,16.1,13:46,9.22,16.1,13:50,9.05,16.1,13:54,8.95,16.1,13:57,8.85,16.1,14:00,8.74,16.1,G,C,N,0.6588,2.144,0.6683,3.479,0.6597,3.2669,83,0
29,SOUTH,HA,3A,3,SC,HA_SC5,57.6669,10.3566,26,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,1
